id_book,page,start_time,duration,total_pages
24,74,1784368416,5,833
24,73,1784368407,9,833
24,73,1784368421,8,833
24,73,1784368430,35,833
25,4,1784368727,101,287
25,5,1784368828,32,287
25,6,1784368860,13,287
25,7,1784369943,120,287
26,1,1784371688,5,2254
26,3,1784371622,9,2254
26,3,1784371695,7,2254
26,4,1784371702,8,2254
26,1357,1784371631,18,2254
26,12,1784371844,57,2254
26,12,1784372015,8,2254
26,6,1784371711,5,2254
26,6,1784372063,5,2254
26,11,1784371724,120,2254
26,11,1784371901,114,2254
26,11,1784372023,34,2254
26,11,1784372072,28,2254
26,1369,1784371649,9,2254
26,14,1784372134,97,2254
26,13,1784372124,10,2254
26,12,1784372100,24,2254
26,16,1784372232,33,2499
26,17,1784372265,24,2499
26,18,1784372293,55,2499
26,19,1784372348,120,2499
26,20,1784372624,41,2499
26,21,1784372665,65,2499
26,22,1784372730,68,2499
26,23,1784372798,70,2499
26,24,1784372868,82,2499
26,25,1784372950,99,2499
26,26,1784373049,78,2499
26,34,1784373348,45,2499
26,32,1784373252,78,2499
26,28,1784373211,25,2499
26,27,1784373132,79,2499
26,33,1784373330,18,2499
26,31,1784373245,7,2499
26,35,1784373393,64,2499
26,36,1784373457,49,2499
26,37,1784438201,120,2499
27,1,1784438442,58,837
28,1,1784438602,58,1966
28,2,1784438660,5,1966
28,4,1784438666,18,1966
28,7,1784438690,12,1966
28,8,1784438702,9,1966
28,334,1784439426,12,1966
28,328,1784439367,41,1966
28,336,1784439418,5,1966
28,326,1784438833,120,1966
28,311,1784438758,75,1966
28,307,1784438733,17,1966
28,305,1784438723,8,1966
28,304,1784438718,5,1966
28,338,1784439408,7,1966
28,327,1784439354,13,1966
28,335,1784554858,120,1966
28,336,1784555778,5,1966
28,336,1784555786,16,1966
27,1,1784689169,120,837
27,2,1784689469,13,858
27,82,1784689490,35,858
27,49,1784689656,63,858
27,48,1784689561,95,858
27,47,1784689482,8,858
27,47,1784689528,33,858
27,50,1784689724,8,858
27,51,1784762322,120,858
28,342,1784764002,58,1966
28,340,1784763743,82,1966
28,340,1784763830,77,1966
28,341,1784763907,6,1966
