id_book,page,start_time,duration
7,1,1783916570,6
7,2,1783916576,30
7,3,1783916606,79
7,4,1783916685,11
7,5,1783916696,9
7,6,1783916705,29
7,9,1783916738,6
8,1,1783916781,8
9,5,1783916816,10
9,6,1783916826,12
9,7,1783916838,8
9,9,1783916850,5
9,10,1783916855,13
9,11,1783916868,9
9,12,1783916877,15
9,13,1783916892,24
9,14,1783916916,9
9,15,1783916925,6
9,16,1783916931,23
9,18,1783916955,9
9,20,1783916966,7
9,21,1783916973,13
9,21,1783916988,38
9,22,1783917026,5
9,22,1783917032,66
9,23,1783917098,56
9,24,1783917154,21
9,24,1783917185,43
9,25,1783917175,10
9,25,1783917228,43
9,26,1783917271,57
9,27,1783917328,60
9,28,1783917388,78
9,29,1783917471,53
9,30,1783917524,68
10,5,1783931041,120
11,3,1783985351,120
11,4,1783985604,59
11,5,1783985663,76
11,6,1783985739,64
11,7,1783985803,61
11,9,1783985868,81
11,11,1783985951,27
11,12,1783985978,57
11,13,1783986035,100
11,14,1783986135,81
11,15,1783986216,108
11,16,1783986324,105
11,17,1783986429,91
11,21,1783986709,58
11,20,1783986663,46
11,18,1783986520,99
11,19,1783986619,44
11,22,1784025224,48
11,23,1784025272,38
11,24,1784025310,44
11,25,1784025354,81
11,26,1784025435,46
11,27,1784025481,58
11,28,1784025539,61
11,29,1784025600,38
11,30,1784025638,81
11,31,1784025719,40
11,32,1784025759,47
11,33,1784025806,106
11,38,1784026091,7
11,38,1784026111,40
11,34,1784025912,51
11,35,1784025963,80
11,36,1784026043,24
11,37,1784026043,24
11,36,1784026098,6
11,37,1784026098,6
11,39,1784028056,77
11,44,1784028819,120
11,43,1784028720,99
11,40,1784028133,33
11,42,1784028273,120
11,41,1784028166,107
11,38,1784028030,26
11,52,1784029886,88
11,46,1784029249,120
11,53,1784029974,80
11,51,1784029797,89
11,49,1784029634,75
11,45,1784029111,120
11,48,1784029533,101
11,47,1784029441,92
11,50,1784029709,88
11,57,1784030339,120
11,55,1784030123,99
11,56,1784030222,117
11,54,1784030054,69
11,58,1784030657,120
11,61,1784031130,10
11,58,1784030928,38
11,60,1784031000,120
11,59,1784030966,8
11,59,1784030978,22
11,67,1784031660,113
11,68,1784031773,114
11,64,1784031332,103
11,62,1784031240,34
11,65,1784031435,63
11,71,1784032030,120
11,70,1784031946,84
11,66,1784031498,120
11,69,1784031887,59
11,63,1784031294,38
11,61,1784031216,24
11,61,1784031274,18
11,78,1784032631,120
11,77,1784032589,42
11,74,1784032354,60
11,76,1784032490,94
11,73,1784032246,102
11,72,1784032167,79
11,75,1784032414,76
11,78,1784033534,105
11,80,1784033788,42
11,80,1784033843,120
11,76,1784033452,68
11,75,1784033445,7
11,81,1784034026,105
11,79,1784033411,6
11,79,1784033639,120
11,79,1784033830,13
11,77,1784033420,24
11,77,1784033520,14
11,82,1784034131,120
11,86,1784035045,24
11,86,1784035071,120
11,85,1784035028,17
11,83,1784034949,59
11,84,1784035008,20
11,88,1784035289,120
11,88,1784035416,19
11,87,1784035193,96
11,105,1784110931,54
11,99,1784110625,73
11,99,1784110705,14
11,91,1784110169,46
11,106,1784110985,48
11,98,1784110553,72
11,90,1784110143,26
11,101,1784110725,35
11,93,1784110288,35
11,100,1784110698,7
11,100,1784110719,6
11,92,1784110215,73
11,103,1784110827,71
11,95,1784110357,111
11,102,1784110760,67
11,94,1784110323,26
11,94,1784110350,7
11,97,1784110528,25
11,89,1784110110,33
11,104,1784110898,33
11,96,1784110468,60
11,108,1784111111,83
11,107,1784111033,78
11,109,1784111194,65
11,114,1784111496,24
11,110,1784111259,61
11,117,1784111608,62
11,115,1784111520,52
11,119,1784111766,74
11,111,1784111320,76
11,120,1784111844,64
11,116,1784111572,36
